number_id,gu_name,MY_id,type_id,PC_id,the_number_of_registered_vehicle
646,강서구,2022-02,4,1,6
647,강서구,2022-02,4,2,340
648,강서구,2022-02,4,3,157
649,관악구,2022-02,1,1,95
650,관악구,2022-02,1,2,99
651,관악구,2022-02,1,3,119
652,관악구,2022-02,2,1,89
653,관악구,2022-02,2,2,102
654,관악구,2022-02,2,3,303
655,관악구,2022-02,3,1,3
656,관악구,2022-02,3,2,577
657,관악구,2022-02,3,3,312
658,관악구,2022-02,4,1,939
659,관악구,2022-02,4,2,150
660,관악구,2022-02,4,3,9
661,광진구,2022-02,1,1,87
662,광진구,2022-02,1,2,79
663,광진구,2022-02,1,3,971
664,광진구,2022-02,2,1,434
665,광진구,2022-02,2,2,83
666,광진구,2022-02,2,3,492
667,광진구,2022-02,3,1,2
668,광진구,2022-02,3,2,490
669,광진구,2022-02,3,3,382
670,광진구,2022-02,4,1,916
671,광진구,2022-02,4,2,163
672,광진구,2022-02,4,3,10
673,구로구,2022-02,1,1,100
674,구로구,2022-02,1,2,112
675,구로구,2022-02,1,3,987
676,구로구,2022-02,2,1,767
677,구로구,2022-02,2,2,122
678,구로구,2022-02,2,3,854
679,구로구,2022-02,3,1,4
680,구로구,2022-02,3,2,692
681,구로구,2022-02,3,3,606
682,구로구,2022-02,4,1,355
683,구로구,2022-02,4,2,125
684,구로구,2022-02,4,3,14
685,금천구,2022-02,1,1,51
686,금천구,2022-02,1,2,69
687,금천구,2022-02,1,3,787
688,금천구,2022-02,2,1,543
689,금천구,2022-02,2,2,73
690,금천구,2022-02,2,3,381
691,금천구,2022-02,3,1,3
692,금천구,2022-02,3,2,112
693,금천구,2022-02,3,3,480
694,금천구,2022-02,4,1,621
695,금천구,2022-02,4,2,74
696,금천구,2022-02,4,3,10
697,노원구,2022-02,1,1,87
698,노원구,2022-02,1,2,128
699,노원구,2022-02,1,3,884
700,노원구,2022-02,2,1,664
701,노원구,2022-02,2,2,134
702,노원구,2022-02,2,3,635
703,노원구,2022-02,3,1,3
704,노원구,2022-02,3,2,881
705,노원구,2022-02,3,3,854
706,노원구,2022-02,4,1,788
707,노원구,2022-02,4,2,169
708,노원구,2022-02,4,3,10
709,도봉구,2022-02,1,1,92
710,도봉구,2022-02,1,2,76
711,도봉구,2022-02,1,3,738
712,도봉구,2022-02,2,1,537
713,도봉구,2022-02,2,2,81
714,도봉구,2022-02,2,3,367
715,도봉구,2022-02,3,1,2
716,도봉구,2022-02,3,2,769
717,도봉구,2022-02,3,3,575
718,도봉구,2022-02,4,1,395
719,도봉구,2022-02,4,2,130
720,도봉구,2022-02,4,3,8
721,동대문구,2022-02,1,1,108
722,동대문구,2022-02,1,2,80
723,동대문구,2022-02,1,3,280
724,동대문구,2022-02,2,1,497
725,동대문구,2022-02,2,2,82
726,동대문구,2022-02,2,3,885
727,동대문구,2022-02,3,1,3
728,동대문구,2022-02,3,2,22
729,동대문구,2022-02,3,3,134
730,동대문구,2022-02,4,1,211
731,동대문구,2022-02,4,2,141
732,동대문구,2022-02,4,3,9
733,동작구,2022-02,1,1,110
734,동작구,2022-02,1,2,93
735,동작구,2022-02,1,3,492
736,동작구,2022-02,2,1,177
737,동작구,2022-02,2,2,94
738,동작구,2022-02,2,3,779
739,동작구,2022-02,3,1,2
740,동작구,2022-02,3,2,604
741,동작구,2022-02,3,3,140
742,동작구,2022-02,4,1,794
743,동작구,2022-02,4,2,130
744,동작구,2022-02,4,3,6
745,마포구,2022-02,1,1,102
746,마포구,2022-02,1,2,100
747,마포구,2022-02,1,3,918
748,마포구,2022-02,2,1,395
749,마포구,2022-02,2,2,105
750,마포구,2022-02,2,3,415
751,마포구,2022-02,3,1,2
752,마포구,2022-02,3,2,912
753,마포구,2022-02,3,3,594
754,마포구,2022-02,4,1,561
755,마포구,2022-02,4,2,162
756,마포구,2022-02,4,3,9
757,서대문구,2022-02,1,1,203
758,서대문구,2022-02,1,2,75
759,서대문구,2022-02,1,3,58
760,서대문구,2022-02,2,1,51
761,서대문구,2022-02,2,2,78
762,서대문구,2022-02,2,3,312
763,서대문구,2022-02,3,1,2
764,서대문구,2022-02,3,2,295
765,서대문구,2022-02,3,3,408
766,서대문구,2022-02,4,1,807
767,서대문구,2022-02,4,2,137
768,서대문구,2022-02,4,3,6
769,서초구,2022-02,1,1,207
770,서초구,2022-02,1,2,151
771,서초구,2022-02,1,3,67
772,서초구,2022-02,2,1,930
773,서초구,2022-02,2,2,156
774,서초구,2022-02,2,3,204
775,서초구,2022-02,3,1,3
776,서초구,2022-02,3,2,334
777,서초구,2022-02,3,3,716
778,서초구,2022-02,4,1,178
779,서초구,2022-02,4,2,175
780,서초구,2022-02,4,3,10
781,성동구,2022-02,1,1,121
782,성동구,2022-02,1,2,82
783,성동구,2022-02,1,3,498
784,성동구,2022-02,2,1,557
785,성동구,2022-02,2,2,92
786,성동구,2022-02,2,3,176
787,성동구,2022-02,3,1,2
788,성동구,2022-02,3,2,190
789,성동구,2022-02,3,3,815
790,성동구,2022-02,4,1,52
791,성동구,2022-02,4,2,185
792,성동구,2022-02,4,3,8
793,성북구,2022-02,1,1,95
794,성북구,2022-02,1,2,103
795,성북구,2022-02,1,3,807
796,성북구,2022-02,2,1,160
797,성북구,2022-02,2,2,106
798,성북구,2022-02,2,3,62
799,성북구,2022-02,3,1,3
800,성북구,2022-02,3,2,277
801,성북구,2022-02,3,3,1
802,성북구,2022-02,4,1,4
803,성북구,2022-02,4,2,446
804,성북구,2022-02,4,3,149
805,송파구,2022-02,1,1,123
806,송파구,2022-02,1,2,203
807,송파구,2022-02,1,3,765
